brand,ats,identifier,url,verified_name,jobs,sg_jobs,needs_review
Delta Electronics,smartrecruiters,deltaelectronics,https://careers.smartrecruiters.com/deltaelectronics,Delta Electronics,58,0,0
TAL International,smartrecruiters,tal,https://careers.smartrecruiters.com/tal,TAL,48,0,0
Premier Research,workday,https://premierresearch.wd12.myworkdayjobs.com/Premierresearch,https://premierresearch.wd12.myworkdayjobs.com/Premierresearch,premierresearch,48,-1,1
Goodwin Procter,workday,https://goodwinprocter.wd5.myworkdayjobs.com/External_Careers,https://goodwinprocter.wd5.myworkdayjobs.com/External_Careers,goodwinprocter,44,-1,1
Global Blue,workday,https://globalblue.wd3.myworkdayjobs.com/External,https://globalblue.wd3.myworkdayjobs.com/External,globalblue,30,-1,1
Sphera,workday,https://sphera.wd1.myworkdayjobs.com/Careers,https://sphera.wd1.myworkdayjobs.com/Careers,sphera,30,-1,0
Together Group Studios,smartrecruiters,together,https://careers.smartrecruiters.com/together,Together,25,0,0
Compassion International,workday,https://compassion.wd5.myworkdayjobs.com/CompassionCareers,https://compassion.wd5.myworkdayjobs.com/CompassionCareers,compassion,24,-1,0
StemCell Technologies,workday,https://stemcell.wd3.myworkdayjobs.com/External_Careers,https://stemcell.wd3.myworkdayjobs.com/External_Careers,stemcell,22,-1,0
Dennemeyer Group,workday,https://dennemeyer.wd3.myworkdayjobs.com/Dennemeyer_Careers,https://dennemeyer.wd3.myworkdayjobs.com/Dennemeyer_Careers,dennemeyer,21,-1,0
Nu Skin,workday,https://nuskin.wd5.myworkdayjobs.com/Nuskin,https://nuskin.wd5.myworkdayjobs.com/Nuskin,nuskin,20,-1,1
Fenix Outdoor,smartrecruiters,fenix,https://careers.smartrecruiters.com/fenix,Fenix,20,0,0
Tyco International,smartrecruiters,tyco,https://careers.smartrecruiters.com/tyco,Tyco,12,0,0
Tyco Electronics,smartrecruiters,tyco,https://careers.smartrecruiters.com/tyco,Tyco,12,0,0
Palantir,smartrecruiters,palantir,https://careers.smartrecruiters.com/palantir,Palantir,10,1,0
Luxury Escapes,smartrecruiters,luxuryescapes,https://careers.smartrecruiters.com/luxuryescapes,Luxury Escapes,8,0,0
Microchip Technology,smartrecruiters,microchip,https://careers.smartrecruiters.com/microchip,Microchip,6,0,0
Robert Bosch,smartrecruiters,robertbosch,https://careers.smartrecruiters.com/robertbosch,Bosch Group,5,0,0
LVMH,smartrecruiters,lvmh,https://careers.smartrecruiters.com/lvmh,LVMH,4,0,0
TP ICAP,smartrecruiters,tpicap,https://careers.smartrecruiters.com/tpicap,TP ICAP,4,0,0
Brookfield Properties,smartrecruiters,brookfieldproperties,https://careers.smartrecruiters.com/brookfieldproperties,Brookfield Properties,4,0,0
Standard Biotools,workday,https://standardbiotools.wd5.myworkdayjobs.com/External,https://standardbiotools.wd5.myworkdayjobs.com/External,standardbiotools,3,-1,1
Visa,smartrecruiters,visa,https://careers.smartrecruiters.com/visa,Visa,2,0,0
Thales,smartrecruiters,thales,https://careers.smartrecruiters.com/thales,Thales,2,0,0
ByteDance,smartrecruiters,bytedance,https://careers.smartrecruiters.com/bytedance,bytedance,2,0,0
BLS International,smartrecruiters,blsinternational,https://careers.smartrecruiters.com/blsinternational,BLS International,1,0,0
Highpower Technology,smartrecruiters,highpower,https://careers.smartrecruiters.com/highpower,High Power,1,0,1
Shake Shack,smartrecruiters,shakeshack,https://careers.smartrecruiters.com/shakeshack,Shake Shack,1,0,0
